スキルシート,,,,,,,,,,,,,,,,,,
技術者名,**更新日**: 2026年4月7日,,,,,,,所　　属,個人事業主（フリーランス）,,,,,,,,,
年　　齢,,,,,,,,性　　別,,,,,,,,,,
最 寄 駅,,,,,,,,学　　歴,,,,,,,,,,
稼動開始日,即日〜,,,,,,,資　　格,ITパスポート,,,,,,,,,
得意技術,Python / Selenium / Octoparse / Gemini API / Claude Code / GCP / GitHub Actions / Flet / GAS / FastAPI,,,,,,,,,,,,,,,,,
得意業務,業務自動化（RPA・スクレイピング・データ収集） / AI連携システム開発 / GUIアプリ開発 / Web監視・通知システム,,,,,,,,,,,,,,,,,
職務経歴,,No.,企業名,,,期間,契約・雇用形態,,担当職種,,事業内容,,,,,,,
,,1,個人事業主（フリーランス）,,,2019年12月 - 現在,個人事業主,,Pythonエンジニア,,Webシステム開発・業務自動化・AI連携,,,,,,,
期間,,,,,業務内容,,"役割
規模",使用言語,DB,サーバOS,"FW・MW
ツール等",担当工程,,,,,,
,,,,,,,,,,,,要件定義,基本設計,詳細設計,実装・単体,結合テスト,総合テスト,保守・運用
1,2026年3月,,-,2026年4月,■人的資本データ抽出・分析パイプライン構築（海外企業PDF 800件）,,"AIエンジニア・PG
1名",Python 3,Mysql,Github Actions(Ubuntsu),"Gemini 2.5 Flash
Claude Code
Docker",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
海外企業の人的資本レポート（アニュアルレポート等）800件から、複雑な非構造化データを高精度に抽出するAIエージェント・ワークフローを構築。
　・マルチモーダルLLMの視覚能力活用:
　　従来のOCR（文字認識）を介さず、Gemini 2.5 Flashに直接PDFを「画像」として認識させる手法を採用。文字情報だけでなく、グラフの推移、チェックボックスの有無、表のレイアウト構造を視覚的に捉えたデータ抽出を実現。
　・高度なプロンプトエンジニアリング（CoT & フェイルセーフ設計）:
　　抽出精度と信頼性を極限まで高めるため、以下のロジックをプロンプトに組み込み実装。
　　* Chain of Thought (思考の連鎖): 「目次からのページ特定 → 該当箇所の視覚的スキャン → 数値特定・計算 → 結論」というステップバイステップの思考プロセスを強制し、推論ミスを大幅に削減。
　　* 人間とAIのためのフェイルセーフ設定: グラフが存在しても数値ラベルがない場合に「無理に数値を推測（ハルシネーション）しない」制約を厳格に適用。値には「グラフあり・詳細数値不明」と出力させ、理由を報告させることで、後続の人間によるチェックコストを最小化。
　・トレーサビリティの徹底:
　　抽出した全データに対し、参照したページ番号と原文テキストの引用をセットで出力。コンサルタントが即座にエビデンスを確認できる仕組みを構築。

≪ビジネス上の効果≫
　・データ品質の劇的向上: CoTの導入により、複雑な計算を伴う指標（一人当たりの利益率等）の抽出精度が向上。
　・検証コストの削減: AIの判断根拠（思考プロセスと参照ページ）が明示されるため、人間によるダブルチェックが効率化され、施策全体のROIが向上。",,"体制：1名
（個人事業主）",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,2024年11月,,-,2026年2月,■Google Maps API 活用データ収集・分析システム構築（継続案件）,,"PG・PM
1名",Python 3,Mysql,Linux (Ubuntu) / Windows 10,"Google Maps Place Detail API
Gemini API
Flet
GCP
GitHub Actions
Codespaces
Claude Code
Bigquery
Docker",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
Google Maps APIを活用したデータ収集・分析システムを段階的に開発・拡張した長期継続案件。
【フェーズ1: GUIデスクトップアプリ開発】（2024年11月〜2025年2月）
非エンジニアのクライアント担当者が直接操作できるGUIアプリをFletで開発。Google Maps Place Detail APIによる店舗詳細情報（営業時間・評点・レビュー数など）の一括抽出、Gemini APIを活用した複数プラットフォーム間の施設ID名寄せ処理・表記ゆれの自動統合機能を実装。
【フェーズ2: データ抽出フロー構築】（2025年9月）
地点情報（店舗・施設データ）の効率的な一括抽出パイプラインを新たに構築。Gemini APIによる住所・店舗名の表記ゆれ補正をフローに組み込み、高精度なロケーションデータを生成。
【フェーズ3: APIリクエスト数削減・分析拡張】（2025年9月〜2026年2月）
既存システムにAPIコスト最適化フローを追加開発。既取得データのキャッシュ活用ロジック実装、ヒートマップによる地域別データ密度の可視化、GitHub Actionsによる定期自動実行、英文分析レポートのクライアント提出まで対応。

≪ビジネス上の効果≫
　・Google Maps API利用コストを大幅削減（重複リクエスト排除・キャッシュ活用の組み合わせ）
　・GUIにより、プログラム知識ゼロの担当者がデータ収集を自走できる体制を実現
　・AI名寄せにより複数データソースの統合精度が向上し、マーケティング分析の質が改善
　・ヒートマップ可視化によりデータ収集先の優先度付けが可能となり、収集精度が向上
　・GitHub Actionsによる自動実行で、継続的なデータメンテナンスが無人化
　・データ収集速度を手動比10倍以上に改善",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1年4ヶ月）,,,,,,,,,,,,,,,,,
3,2025年7月,,-,2025年7月,■Wikipediaデータの大規模抽出・クレンジング,,"PG
1名","Python 3, SPARQL",CSV,Windows 10,"VS Code
Gemini API
Wikidata Query Service",●,●,●,●,●,●,-
,,,,,"≪担当業務≫
学術研究用データ整備案件。SPARQL（Wikidata Query Service）とWikipedia APIを組み合わせ、11万件のエントリを一括抽出。Gemini APIを活用して論理的な品質チェック（欠損値・矛盾データの検出）を自動化し、クレンジング済みデータをCSVで納品。

≪ビジネス上の効果≫
　・手作業では不可能な規模（11万件）のデータ収集を数時間で完了
　・AIによる品質チェックで、研究データの信頼性を担保
　・研究者のデータ整備コストを大幅削減",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1ヶ月）,,,,,,,,,,,,,,,,,
4,2025年6月,,-,2025年7月,■Salesforce用の企業データベース自動更新システム,,"PG
1名",Python 3,"Excel, Google Spreadsheet",Windows 10,"Gemini API
Google Sheets API",●,●,●,●,●,●,-
,,,,,"≪担当業務≫
Salesforceに登録済みの企業データ（社名・住所・電話番号等）を定期的に自動更新するシステムを開発。Webソースからの最新情報取得、Gemini APIを活用した住所・法人名の正規化処理、Google Spreadsheet経由でのデータ差分管理を実装。

≪ビジネス上の効果≫
　・営業部門のCRMメンテナンス工数をほぼゼロ化
　・データ鮮度の維持により、アウトバウンド営業の成功率向上に貢献
　・不正確なデータによる誤送信リスクを低減",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
5,2025年3月,,-,2025年4月,■広告検証用プロキシサービス導入支援,,"PG
1名",Python 3,Mysql,Ubuntu,"BrightData API
GCP
Windsurf",-,-,●,●,●,●,-
,,,,,"≪担当業務≫
デジタル広告の地域別表示検証のため、BrightData（住宅用プロキシサービス）とPythonを連携させたAPI接続プログラムを開発。指定国・地域のIPから広告掲載面へのアクセスを自動化し、キャプチャ保存・レポート生成まで一括処理。

≪ビジネス上の効果≫
　・広告配信の地域別表示確認が自動化され、品質検証工数を約80%削減
　・手動での各国IP切り替え作業が不要となり、広告運用チームの負荷軽減",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
6,2024年10月,,-,2024年10月,■論文要約のためのAI自動化システム開発,,"PG
1名",Python 3,Google Spreadsheet,Linux,"GCP
Gemini API
pyMuPDF
BeautifulSoup",-,●,●,●,●,●,-
,,,,,"≪担当業務≫
学術論文（PDF・HTML形式）のテキスト抽出から要約・出力までを全自動化するシステムを開発。pyMuPDFによるPDFテキスト抽出、BeautifulSoupによるHTML解析、Gemini APIへの要約依頼、結果のGoogle Spreadsheet自動書き込みまでをパイプライン化。

≪ビジネス上の効果≫
　・研究者が1本の論文を確認するのに要していた時間を、サマリー確認だけで済む水準まで短縮
　・大量文献サーベイの効率が飛躍的に向上し、研究スピードを加速",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1ヶ月）,,,,,,,,,,,,,,,,,
7,2024年4月,,-,2024年5月,■AIアノテーション（動画データ）,,"アノテーター
1名",-,-,-,ELAN（言語アノテーションツール）,-,-,-,●,-,-,-
,,,,,"≪担当業務≫
動画コンテンツに対してELANを使用したタイムライン型アノテーション付与作業を担当。指定のアノテーション仕様に基づき、動画内のセグメント・ラベル・属性を正確に記録。

≪ビジネス上の効果≫
　・AI学習用の高品質アノテーションデータ提供により、モデル精度の向上に貢献",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
8,2024年1月,,-,2024年2月,■ノーコードOCRデータ収集ワークフロー開発,,"PG
1名",-,CSV,Windows 10,Octoparse,-,-,●,●,●,●,-
,,,,,"≪担当業務≫
Octoparseを用いたノーコードでのWebデータ収集ワークフローを設計・構築。動的ページへの対応（スクロール・ページネーション処理）、定期実行スケジュールの設定を含む。

≪ビジネス上の効果≫
　・開発工数をほぼかけずに迅速なデータ収集体制を構築
　・専任エンジニア不要のオペレーションを実現",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
9,2023年12月,,-,2024年1月,■Webスクレイピングツール操作レクチャー（オンライン）,,"講師
1名",-,CSV,Windows 10,"Octoparse
Zoom（オンライン）",-,-,-,-,-,-,●
,,,,,"≪担当業務≫
Octoparseを利用したWebスクレイピングを社内で内製化したいクライアント担当者に対し、ツールの操作方法・ワークフロー設計・トラブルシューティングを体系的にオンラインレクチャー。手順書の作成も合わせて対応。

≪ビジネス上の効果≫
　・クライアントの内製化を支援し、毎回の外注コストをゼロ化
　・デジタルリテラシー向上により、データ活用文化の定着を促進",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1ヶ月）,,,,,,,,,,,,,,,,,
10,2023年5月,,-,2024年4月,■Web監視・変更通知システム開発（ノーコード）,,"PG
1名",GAS (Google Apps Script),Google Spreadsheet,Windows 10,"Octoparse
Zapier
Chatwork",-,-,●,●,●,●,-
,,,,,"≪担当業務≫
Webページの情報変更（価格・在庫・テキスト等）を自動検知し、Chatworkへリアルタイム通知するシステムを設計・実装。Octoparseでのデータ収集→Google Spreadsheetへの差分記録→GASによる変更検知→Zapier経由でChatwork通知までのエンドツーエンドのフローを構築。

≪ビジネス上の効果≫
　・担当者による手動チェックを完全排除、見落としによる機会損失をゼロ化
　・競合価格変動の即時把握により、タイムリーな価格戦略の実行が可能に",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1年）,,,,,,,,,,,,,,,,,
11,2023年3月,,-,2024年2月,■Webスクレイピングプログラム開発（Selenium・長期サポート）,,"PG
1名",Python 3,CSV,Windows 10,"Selenium 4.1
VS Code",-,-,●,●,●,●,-
,,,,,"≪担当業務≫
JavaScriptで動的にコンテンツを生成するWebサイトに対応したSeleniumスクレイピングプログラムを開発。ログイン処理・ページネーション・待機処理の実装、サイト構造変更への対応メンテナンスを長期継続。

≪ビジネス上の効果≫
　・動的サイトからの安定したデータ収集を実現し、業務データの定期取得を自動化
　・長期サポートにより、サイト改修時の再開発コストを最小化",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1年）,,,,,,,,,,,,,,,,,
12,2023年9月,,-,2023年10月,■Webスクレイピング・データクレンジングプログラム開発,,"PG
1名",Python 3,CSV,Windows 10,VS Code,-,-,●,●,●,●,-
,,,,,"≪担当業務≫
特定WebサイトのデータをPythonで収集し、欠損値補完・重複排除・フォーマット統一などのクレンジング処理を一括実施するスクリプトを開発。

≪ビジネス上の効果≫
　・下流の分析・加工工程でのデータ品質問題を事前に解消
　・手作業クレンジングの工数を大幅削減",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
13,2023年5月,,-,2023年6月,■OCRデスクトップアプリ開発（帳票デジタル化）,,"PG
1名",Python 3,CSV,Windows 10,"Line Clova OCR API
Tkinter
VS Code
ChatGPT",-,●,●,●,●,●,●
,,,,,"≪担当業務≫
手書き・印刷帳票のデジタル化を目的に、Line Clova OCR APIを活用したWindowsデスクトップアプリを開発。GUI（Tkinter）によるファイルドラッグ＆ドロップ操作、OCR結果のCSV出力、ChatGPTを活用したUX改善提案を含む。

≪ビジネス上の効果≫
　・紙帳票からの手動転記作業を完全廃止し、入力ミスをゼロ化
　・処理スピードが手作業比10倍以上に向上
　・GUIにより、PCスキルが低い現場担当者でも即日利用可能",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
14,2023年5月,,-,2023年6月,■RPAワークフロー開発（Webデータ自動収集・Spreadsheet連携）,,"PG
1名",Python 3,Google Spreadsheet,Windows 10,"VS Code
ChatGPT
Google Sheets API",-,●,●,●,●,●,●
,,,,,"≪担当業務≫
指定WebサイトからのデータをPythonで自動取得し、Google Spreadsheetへリアルタイムで書き込むRPAワークフローを開発。データ加工・クレンジングも合わせて自動化。

≪ビジネス上の効果≫
　・定型的なデータ収集業務を完全自動化し、担当者の手動作業時間をゼロ化
　・常に最新データをSpreadsheetで確認できる環境を整備",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
15,2023年3月,,-,2023年4月,■RPAワークフロー開発（ダッシュボード用データ収集・自動更新）,,"PG
1名","Python 3, GAS",CSV,Windows 10 / Ubuntu,"Windowsタスクスケジューラ
Chatwork
VS Code
ChatGPT",-,●,●,●,●,●,●
,,,,,"≪担当業務≫
経営ダッシュボード用のKPIデータをWebから自動収集するRPAを開発。Python（スクレイピング）とGAS（Spreadsheet書き込み・集計）の連携、Windowsタスクスケジューラによる定期実行、収集完了時のChatwork自動通知を実装。

≪ビジネス上の効果≫
　・ダッシュボードのデータ更新作業を自動化し、経営判断の即時性が向上
　・手動更新の漏れ・遅延ゼロを実現し、正確な経営情報の提供を担保",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
16,2023年2月,,-,2023年3月,■RPAワークフロー開発（大規模行政データ処理・DMリスト作成）,,"PG・PM
1名",Python 3,CSV,Ubuntu,"VS Code
メールソフト連携
筆まめ",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
DM（ダイレクトメール）送付用ターゲットリストを作成するため、行政が公開する17万件のオープンデータをPythonで自動収集・クレンジング処理。独自ドメインURLの抽出ロジックを実装し、最終的に筆まめ（宛名印刷ソフト）に取り込める形式でデータを整備。

≪ビジネス上の効果≫
　・手作業では数週間要するリスト作成を数時間で完了
　・17万件規模のデータ処理コストを大幅削減し、DM施策のROI向上に貢献",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
17,2022年12月,,-,2023年1月,■RPAネイティブアプリ開発（マーケティングデータ自動収集・GUI）,,"PG
1名",Python 3,Excel,Windows 10,"Tkinter (GUI)
VS Code
openpyxl",-,●,●,●,●,●,●
,,,,,"≪担当業務≫
マーケティングリサーチ用に、競合サイトのデータ収集＋スクリーンショット自動保存機能を持つWindowsネイティブアプリを開発。GUIにより担当者が手動でURL指定・実行できる操作性を実現。収集結果はExcelに自動出力。

≪ビジネス上の効果≫
　・マーケティング調査の情報収集コストを大幅削減
　・GUI提供により、担当者がエンジニア不要で運用継続可能",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
18,2022年12月,,-,2022年12月,■RPAワークフロー開発（海外ゲームデータ収集・UiPath）,,"PG
1名",VB.NET,Excel,Windows 10,UiPath,-,●,●,●,●,●,●
,,,,,"≪担当業務≫
海外ゲームプラットフォームのデータ（ランキング・価格・レビュー等）を定期収集するUiPathワークフローをVB.NETカスタムアクティビティと組み合わせて開発。収集データをExcelへ自動出力。

≪ビジネス上の効果≫
　・市場調査・競合分析のためのデータ収集を自動化し、担当者の調査工数を削減
　・定期実行により、テータの時系列変化の追跡が可能に",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1ヶ月）,,,,,,,,,,,,,,,,,
19,2022年9月,,-,2023年10月,■RPAワークフロー開発（分析用データ収集・拡張性設計）,,"PG・PM
1名",Python 3,CSV,Windows 10,"VS Code
Tkinter",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
長期継続案件として、分析用データ収集システムを開発。GUIアプリとして実装し、ポリモーフィズムを活用したクラス設計により、データソースの追加・変更に柔軟に対応できるアーキテクチャを採用。

≪ビジネス上の効果≫
　・保守性の高い設計で、追加要件への対応コストを最小化
　・GUIにより非エンジニアによる自走運用が可能",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約1年2ヶ月）,,,,,,,,,,,,,,,,,
20,2021年10月,,-,2021年12月,■RPAワークフロー開発（YouTube APIリスト収集）,,"PG
1名",Python 3,CSV,Windows 10,"YouTube Data API v3
VS Code",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
YouTube Data API v3を活用し、指定キーワード・チャンネルの動画リスト・再生数・コメント数などをCSVへ自動収集するスクリプトを開発。ページネーション処理・APIレート制限への対応を実装。

≪ビジネス上の効果≫
　・市場調査・競合チャンネル分析用データの収集を自動化
　・動画プロモーション戦略立案のための定量データ収集コストを削減",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約3ヶ月）,,,,,,,,,,,,,,,,,
21,2021年8月,,-,2021年9月,■RPAワークフロー開発（Webページ監視・Chatwork自動通知）,,"PG
1名",Python 3,CSV,Windows 10,"Selenium
Chatwork API
VS Code",●,●,●,●,●,●,●
,,,,,"≪担当業務≫
指定Webページの内容変化をSeleniumで定期監視し、変更を検知した際にChatwork APIへ自動通知するシステムを開発。監視対象の追加・変更をCSVで管理できる柔軟な設計を採用。

≪ビジネス上の効果≫
　・手動モニタリングを完全廃止し、担当者工数をゼロ化
　・情報変化の即時検知により、ビジネス対応スピードが向上",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
22,2019年8月,,-,2019年12月,■AI学習用画像アノテーション（建築現場）,,"アノテーター
1名",-,-,Windows 10,画像アノテーションツール,-,-,-,●,-,-,-
,,,,,"≪担当業務≫
建築現場の画像データに対し、物体検出AIの学習用アノテーション（バウンディングボックス・ラベル付与）を大量に実施。品質基準に基づく正確なラベリング作業を担当。

≪ビジネス上の効果≫
　・建設業界向け物体検出モデルの学習データ整備に貢献
　・現場の安全管理・施工品質チェックAIの精度向上を支援",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約5ヶ月）,,,,,,,,,,,,,,,,,
23,2018年12月,,-,2019年1月,■Octoparseスクレイピングワークフロー導入,,"PG
1名",-,CSV,Windows 10,Octoparse,●,●,●,●,●,●,●
,,,,,"≪担当業務≫
ノーコードスクレイピングツールOctoparseを用いたWebデータ収集ワークフローを設計・実装・導入。クライアントへの操作説明を含むサポートを実施。

≪ビジネス上の効果≫
　・エンジニアリソースなしでのデータ収集体制を短期間で構築
　・導入後の自走運用が可能な形での引き渡しを実現",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2ヶ月）,,,,,,,,,,,,,,,,,
24,2023年7月,,-,2023年12月,■客室清掃・設備点検業務（民泊運営代行）,,"10人体制
1名",-,-,-,-,-,-,-,●,-,-,●
,,,,,"≪担当業務≫
民泊施設の客室清掃（ベッドメイキング・備品補充・チェックリストに基づく清掃確認）および設備点検（空調・照明・水回り等の動作確認と不具合報告）を担当。清掃完了後に写真付きの詳細報告をオーナーへ送付し、高い透明性と信頼性をもって業務を遂行。

≪ビジネス上の効果≫
　・報告・連絡・相談の徹底により、担当期間中（6ヶ月間）の事故・クレームゼロを達成
　・設備不具合の早期発見と迅速な報告により、重大障害への発展を未然に防止
　・清潔な客室維持と丁寧な報告対応により、施設の口コミ評価スコアの維持・向上に貢献",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約6ヶ月）,,,,,,,,,,,,,,,,,
25,2018年10月,,-,2018年12月,■データセンターオペレーション（サーバー監視・媒体交換・環境構築支援）,,"DCオペレーター / 3チーム　18人体制
1名",-,-,"Linux, Windows Server",-,-,-,-,●,-,-,●
,,,,,"≪担当業務≫
株式会社Adeccoを通じたFUJITSU系列データセンターへの派遣。サーバー監視（アラート監視・障害ログ確認・エスカレーション対応）、媒体交換（磁気テープ・ストレージデバイスの定期交換作業）、環境構築支援（機器設置・ケーブリング補助・動作確認）などのデータセンターオペレーション業務を担当。

≪ビジネス上の効果≫
　・24時間365日稼働のデータセンターにおける安定運用を支える監視業務を担当し、障害の早期検知・一次対応に貢献
　・定期媒体交換作業の確実な実施により、データ保全・バックアップ体制の維持に寄与
※体調不良により退職",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約3ヶ月）,,,,,,,,,,,,,,,,,
26,2017年2月,,-,2018年12月,■ピッキング・物流業務（西日本マリンサービス株式会社 / Amazon西宮FC）,,"ピッキングスタッフ / 複数名
1名",-,-,-,-,-,-,-,●,-,-,-
,,,,,"≪担当業務≫
西日本マリンサービス株式会社の派遣スタッフとして、Amazon西宮FC（フルフィルメントセンター）でのピッキング業務に従事。指定商品の位置特定・ピッキング・搬送をKPI（時間当たり処理数）管理のもとで実施。生産性向上策として、作業導線を改善する具体的な設備設置案を現場運営サイドへ提案・提出し、正式に採用された。

≪ビジネス上の効果≫
　・施設設置案（作業導線改善）の採用により、チーム全体の出荷処理スピード向上に貢献
　・KPI目標を継続的に達成し、継続指名スタッフとして約2年間の長期稼働を実現",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約2年）,,,,,,,,,,,,,,,,,
27,2007年4月,,-,2018年9月,■製造ライン組立・梱包・品質チェック業務（製造・物流各社）,,"製造オペレーター / 複数名
1名",-,-,-,-,-,-,-,●,-,-,-
,,,,,"≪担当業務≫
トヨタ自動車九州・ROHM・松下（現パナソニック）・黒井電機など、製造業・物流業の各社に派遣スタッフ・正社員として勤務（約11年間）。自動車・電子部品の生産ラインにおける組立・品質チェック（外観検査）業務に従事。業種・製品が異なる多様な現場へ短期間で適応し、各現場の品質基準を習得・遵守。

≪ビジネス上の効果≫
　・トヨタ自動車・ROHMなど品質基準の極めて厳しい現場において、目標生産数を安定達成
　・長期（約11年）にわたる複数社・複数業種就労により、高い現場適応力と業務遂行能力を実証
　・品質基準の徹底遵守により、製造ラインの不良率低減・歩留まり向上に貢献",,"体制：1名
（個人事業主）",,,,,,,,,,,
,（約11年）,,,,,,,,,,,,,,,,,
